filename,original,first
./CONDUCT.md,439,439
./CONTRIBUTING.md,1352,1352
./LICENSE.md,925,925
./README.md,5,5
./authors.md,36,36
./bib.md,492,
./gloss-vol1.md,8735,
./links.md,30,
async-programming/index.md,1556,2561
build-manager/index.md,1407,2361
code-generator/index.md,512,1071
data-table/index.md,1035,1674
debugger/index.md,1060,
doc-generator/index.md,667,1108
file-backup/index.md,991,1891
file-interpolator/index.md,1024,1927
layout-engine/index.md,1271,2084
module-bundler/index.md,1367,1726
module-loader/index.md,1045,1406
package-manager/index.md,1474,
page-templates/index.md,658,1976
pattern-matching/index.md,1198,1867
regex-parser/index.md,865,1329
style-checker/index.md,958,1399
systems-programming/index.md,1898,2562
text-editor/index.md,1338,
unit-test/index.md,969,1558
virtual-machine/index.md,1306,
vol1-conclusion/index.md,126,
vol1-intro/index.md,538,965
total,38950,51428
